fichier,dossier,cle,nom_pdf,statut,id_1,cand_1,id_2,cand_2,id_3,cand_3,id_retenu
"Shandong Xinda Motor Co., Ltd. Catalog _Low Speed Mini EV AC motor Series 2023.pdf",All Catalogues 220926,Shandong Xinda Motor Co   Ltd     Low Speed Mini EV AC motor Series,"About Xinda Motor Shandong Xinda Motor Co., Ltd. | Company profile About Shandon",à valider,official_290,"HEBEI XINDA BICYCLE CO., LTD. [XINDA] E3 E3-1214 · 0.80 token:xinda ← Shandong Xinda Motor Co  ",official_1125,"SHANGHAI DIDONG SPORTS GOODS CO., LTD. [SPEED WAYS] W1 W1-0511 · 0.80 token:speed ← Shandong Xinda Motor Co  ",official_1141,"ALTALIST CO., LTD. [NEW SPEED] W1 W1-0901 · 0.80 token:speed ← Shandong Xinda Motor Co  ",
2026 SHANGFENG CATALOG.pdf,All Catalogues 220926,SHANGFENG,,aucun,,,,,,,
Shenzhen YPR.pdf,All Catalogues 220926,Shenzhen YPR,,aucun,,,,,,,
2026 SHUNYU CATALOG.pdf,All Catalogues 220926,SHUNYU,,aucun,,,,,,,
SiAECOSYS Presentation 2026.pdf,All Catalogues 220926,SiAECOSYS,,aucun,,,,,,,
2026 SMT CATALOG.pdf,All Catalogues 220926,SMT,,aucun,,,,,,,
2026 SNOOKER CATALOG.pdf,All Catalogues 220926,SNOOKER,,aucun,,,,,,,
2026 SPARKLE CATALOG.pdf,All Catalogues 220926,SPARKLE,,aucun,,,,,,,
Stilt Studios Catalogue 2024.pdf,Suppliers Catalogues,Stilt Studios,,aucun,,,,,,,
2026 SUNLIGHT CATALOG.pdf,All Catalogues 220926,SUNLIGHT,,aucun,,,,,,,
SUNNYWHEEL CATALOGUE _ 2025 new_含封面.pdf,Suppliers Catalogues,SUNNYWHEEL       new 含封面,,aucun,,,,,,,
2026 Surpass Sports Products Catalog.pdf,All Catalogues 220926,Surpass Sports,,aucun,,,,,,,
2026 TENGHUI CATALOG.pdf,All Catalogues 220926,TENGHUI,,aucun,,,,,,,
Tengsen Saddle.pdf,All Catalogues 220926,Tengsen Saddle,,aucun,,,,,,,
2026 TIANJIU CATALOG.pdf,All Catalogues 220926,TIANJIU,,aucun,,,,,,,
2026 TTN CATALOG CN.pdf,All Catalogues 220926,TTN,永興軸承公司,aucun,,,,,,,
2026 TUKUS CATALOG(With price).pdf,All Catalogues 220926,TUKUS,,aucun,,,,,,,
2026 TUOHAI CATALOG 2.pdf,All Catalogues 220926,TUOHAI,"WWW.bicyclwheelsets.com Hebi Tuohai Automobile Industry Co., Ltd.",aucun,,,,,,,
UNITEK Catalogue.pdf,All Catalogues 220926,UNITEK,尤尼科电驱动系统有限公司,aucun,,,,,,,
2026 VELOCE CATALOG.pdf,All Catalogues 220926,VELOCE,,aucun,,,,,,,
2026 WEICHI CATALOG.pdf,All Catalogues 220926,WEICHI,,aucun,,,,,,,
2026 WEIIGO CATALOG.pdf,All Catalogues 220926,WEIIGO,,aucun,,,,,,,
Wenzhou Sonjo Lock 2026.pdf,All Catalogues 220926,Wenzhou Sonjo Lock,,aucun,,,,,,,
2026 WEST BIKING Catalog.pdf,All Catalogues 220926,WEST BIKING,,aucun,,,,,,,
wuxi Leiming.pdf,All Catalogues 220926,wuxi Leiming,,aucun,,,,,,,
2026 WZSQ CATALOG.pptx,All Catalogues 220926,WZSQ,,aucun,,,,,,,
2026 XIEDA CATALOG.pdf,All Catalogues 220926,XIEDA,,aucun,,,,,,,
2026 XIMENG CATALOG.pdf,All Catalogues 220926,XIMENG,"PINGXIANG JIE TAI BICYCLE CO,LTD | PNGXIANG UETAI EICYCLE CO,LTD | 乡县捷泰自行车有限公司",aucun,,,,,,,
2026 XINAOMA COMPANY.pptx,All Catalogues 220926,XINAOMA COMPANY,,aucun,,,,,,,
2026 XINDI CATALOG.pdf,All Catalogues 220926,XINDI,,aucun,,,,,,,
Xingtai Leyang Basket 2.xlsx,All Catalogues 220926,Xingtai Leyang Basket,,à valider,official_922,PINGXIANG WENTIAN BASKET FACTORY [WENTIAN BASKET] N1 N1-0430 · 0.80 token:basket ← Xingtai Leyang Basket,official_1471,"CHANGZHOU HAOTU BASKET OF FITTINGS CO., LTD. [HAOTU BASKET] W4 W4-1644 · 0.80 token:basket ← Xingtai Leyang Basket",,,
Xingtai Meide Bicycle1.pdf,All Catalogues 220926,Xingtai Meide Bicycle1,,à valider,official_839,"SUZHOU MEIDE SPORTS TECHNOLOGY CO., LTD. [MEIDE] E7 E7-1728 · 0.80 token:meide ← Xingtai Meide Bicycle1",official_1456,"HEBEI MEIDE BICYCLE CO., LTD. [SOKIND] W4 W4-1311 · 0.80 token:meide ← Xingtai Meide Bicycle1",,,
Xingtai Shangtu Bags.pdf,All Catalogues 220926,Xingtai Shangtu Bags,,aucun,,,,,,,
Xinrui Ski Goggles Catalog-2025V10.pdf,Suppliers Catalogues,Xinrui Ski Goggles   2025V10,"GUANGZHOU XINRUI PROTECTIVE EQUIPMENT CO.,LTD.",aucun,,,,,,,
2026 XINYANGANG CATALOG.pdf,All Catalogues 220926,XINYANGANG,丽雪电动自行车配件有限公司,aucun,,,,,,,
XVE charger.pdf,All Catalogues 220926,XVE charger,"Supply Co., Ltd. | 全的设计理念植入到了公司 | 有限责任公司 | 湖南金鑫宇电源科技有限公司 | 销售于一体的实业公司",auto,official_646,"JIN XIN YU POWER (SHENZHEN) SUPPLY CO., LTD. [JIN XIN] E6 E6-0434 · 0.95 cn ← 湖南金鑫宇电源科技有限公司",,,,,official_646
2026 YINGCHI CATALOG.pdf,All Catalogues 220926,YINGCHI,,aucun,,,,,,,
2026 YIQI CATALOG & QUOTATION.xls,All Catalogues 220926,YIQI,,aucun,,,,,,,
2026 YONGDONG CATALOG.pdf,All Catalogues 220926,YONGDONG,,aucun,,,,,,,
YongFang Plastic 2.pdf,All Catalogues 220926,YongFang Plastic,,à valider,official_157,"YUNGFANG PLASTIC METAL (KUNSHAN) CO., LTD. [YUNGFANG] E2 E2-0945 · 0.75 fuzzy0.88 ← YongFang Plastic",,,,,
YONGLI MTB CATALOG-2025.pdf,Suppliers Catalogues,YONGLI MTB,,à valider,official_512,"HANGZHOU YONGLI FRICTION MATERIAL CO., LTD. [YONGLI FRICTION] E4 E4-1815 · 0.80 token:yongli ← YONGLI MTB",,,,,
2026 YONGTENG CATALOG.pdf,All Catalogues 220926,YONGTENG,创建自己的贸易公司 | 天津喜来福科技有限公司 | 天津市思博格兹自行车有限公司,aucun,,,,,,,
2026 YOUJU OPITCS CATALOG.pdf,All Catalogues 220926,YOUJU OPITCS,,aucun,,,,,,,
2026 YOUSAI CATALOG.pdf,All Catalogues 220926,YOUSAI,邯郸市优赛车业有限公司,aucun,,,,,,,
